x,y,z,yaw,velocity,change_flag
-217.1518,462.1888,37.0303,-2.6302,20.1193,0
-217.6462,461.9285,37.0492,-2.6245,20.014,0
-218.1503,461.6524,37.0635,-2.6185,19.8877,0
-218.6388,461.4086,37.0929,-2.6125,19.7122,0
-219.0871,461.1127,37.1045,-2.6055,19.642,0
-219.5656,460.8463,37.1267,-2.5992,19.5016,0
-220.0579,460.5552,37.1405,-2.5913,19.4735,0
-220.5165,460.288,37.1597,-2.584,19.4875,0
-220.9957,460.0195,37.1783,-2.5761,19.3892,0
-221.4426,459.7454,37.1988,-2.568,19.312,0
-221.862,459.4456,37.2147,-2.56,19.3471,0
-222.2924,459.1451,37.2303,-2.551,19.2559,0
-222.7522,458.8738,37.2437,-2.5422,19.2208,0
-223.1867,458.5622,37.2461,-2.5329,19.2559,0
-223.6343,458.2565,37.2559,-2.5231,19.2067,0
-224.0672,457.9344,37.2679,-2.5136,19.305,0
-224.54,457.6567,37.2917,-2.5046,19.305,0
-224.9801,457.3531,37.3116,-2.4955,19.2839,0
-225.3473,457.0074,37.3159,-2.4863,19.1927,0
-225.8148,456.6718,37.3324,-2.4765,19.2067,0
-226.624,456.0349,37.3405,-2.4569,19.0663,0
-227.0103,455.6946,37.3588,-2.448,19.0382,0
-227.8101,455.0428,37.4685,-2.4296,18.8206,0
-228.1857,454.6829,37.4734,-2.4208,18.7083,0
-228.5975,454.337,37.4133,-2.413,18.5819,0
-228.9997,453.984,37.411,-2.4048,18.5609,0
-229.6886,453.3676,37.5185,-2.3915,18.1537,0
-230.0856,453.026,37.5929,-2.3856,18.0274,0
-230.5179,452.6609,37.5315,-2.3774,17.8027,0
-231.1779,451.9993,37.4807,-2.3584,17.7044,0
-231.827,451.308,37.5353,-2.3428,17.2622,0
-232.4907,450.6043,37.568,-2.3275,16.8691,0
-233.144,449.9592,37.5826,-2.314,16.5742,0
-233.7444,449.342,37.6113,-2.3015,16.3215,0
-234.3316,448.6302,37.6314,-2.2884,15.9916,0
-234.8946,447.9877,37.6515,-2.2767,15.7318,0
-235.4686,447.3458,37.6879,-2.2664,15.2264,0
-235.9893,446.7194,37.6985,-2.2561,14.4823,0
-236.4676,446.1237,37.6761,-2.2472,13.703,0
-236.9354,445.5329,37.6856,-2.2376,13.0642,0
-237.351,444.991,37.6751,-2.2282,12.5096,0
-237.7632,444.4487,37.6881,-2.2197,11.8989,0
-238.1786,443.9451,37.6887,-2.211,11.4075,0
-238.5253,443.4336,37.6935,-2.2029,10.8108,0
-238.8546,442.9938,37.6946,-2.1957,10.2773,0
-239.1819,442.5311,37.7091,-2.1889,10,0
-239.58,441.9486,37.6956,-2.1796,10,0
-239.9226,441.5007,37.6971,-2.1722,9,0
-240.2387,441.0114,37.6865,-2.1647,9,0
-240.5456,440.5742,37.6734,-2.1572,8,0
-240.8728,440.0909,37.6604,-2.1442,8,0
-241.2944,439.6588,37.658,-2.1231,9,0
-241.5919,439.2019,37.6682,-2.088,9,0
-242.0678,438.6583,37.6627,-2.0315,10,0
-242.4243,438.0145,37.6457,-1.9602,10,0
-242.6525,437.3126,37.6358,-1.8667,10.193,0
-242.515,436.7528,37.6199,-1.8022,10.7968,0
-242.5853,436.1143,37.5999,-1.7278,11.3794,0
-242.65,435.5057,37.5797,-1.6413,11.934,0
-242.6484,434.7468,37.5799,-1.5561,12.3271,0
-242.5452,434.1981,37.5322,-1.4651,12.5869,0
-242.5141,433.4463,37.5341,-1.3725,13.1204,0
-242.3718,432.7057,37.5111,-1.2798,13.4293,0
-242.0905,431.9908,37.4554,-1.1887,13.5907,0
-241.9126,431.2505,37.4324,-1.0961,13.8294,0
-241.5054,430.556,37.4089,-1.0074,14.04,0
-241.0611,429.977,37.4264,-0.9145,14.384,0
-240.6025,429.3158,37.4338,-0.8179,14.3559,0
-239.9957,428.6841,37.4312,-0.7268,14.5805,0
-239.765,428.1662,37.4141,-0.6323,14.8964,0
-238.4093,427.4407,37.3866,-0.5108,15.1,0
-237.6381,427.0384,37.3579,-0.4319,15.3317,0
-236.9037,426.6771,37.356,-0.3559,15.6967,0
-236.0577,426.4461,37.3256,-0.2898,15.9494,0
-235.1923,426.1971,37.3072,-0.2378,16.1671,0
-234.3327,425.9828,37.3366,-0.1914,16.5181,0
-233.471,425.8148,37.3016,-0.1521,16.7989,0
-232.5505,425.7255,37.29,-0.1198,17.1779,0
-231.5819,425.6592,37.2665,-0.0945,17.3464,0
-230.6536,425.5098,37.2617,-0.0695,17.6342,0
-229.6658,425.4444,37.2494,-0.0441,17.7466,0
-229.1599,425.4248,37.2472,-0.032,17.8448,0
-228.1511,425.4259,37.1898,-0.0139,18.1748,0
-227.6485,425.4331,37.1696,-0.0089,18.2801,0
-226.6664,425.5044,37.1377,-0.0043,18.3362,0
-226.1502,425.4933,37.1342,-0.0049,18.4556,0
-225.6293,425.4958,37.1207,-0.0063,18.5749,0
-224.6285,425.468,37.1031,-0.0095,18.8276,0
-224.1138,425.475,37.081,-0.0121,18.8768,0
-223.5919,425.4894,37.0654,-0.0158,18.9751,0
-223.0312,425.4745,37.0591,-0.0186,19.0453,0
-222.4897,425.421,37.0373,-0.0214,19.1857,0
-221.9456,425.436,37.0205,-0.0256,18.9189,0
-221.3938,425.4244,37.01,-0.0299,19.3892,0
-220.8568,425.3968,37.0053,-0.0339,19.5577,0
-220.3318,425.3829,36.9928,-0.0388,19.7192,0
-219.7867,425.3899,36.9729,-0.0432,19.6139,0
-219.2648,425.3351,36.9407,-0.0474,19.8596,0
-218.7412,425.3183,36.9089,-0.0529,19.9438,0
-218.2084,425.2979,36.8766,-0.0588,20.1263,0
-217.6022,425.2909,36.9059,-0.0661,20.2106,0
-217.0041,425.2612,36.9302,-0.0731,20.2878,0
-216.4523,425.1909,36.8665,-0.0801,20.1404,0
-215.9154,425.1559,36.8706,-0.0873,20.2808,0
-215.3337,425.0776,36.8668,-0.094,20.372,0
-214.8145,425.0035,36.8375,-0.1008,20.5054,0
-214.2815,424.9697,36.8356,-0.1077,20.5756,0
-213.7215,424.9244,36.7852,-0.1145,20.4844,0
-213.1494,424.8268,36.7838,-0.122,20.6809,0
-212.5912,424.7739,36.7449,-0.1301,20.6248,0
-211.9769,424.7216,36.7353,-0.1381,20.9477,0
-211.3875,424.6369,36.7381,-0.1484,20.9336,0
-210.8197,424.5596,36.7453,-0.1601,21.1372,0
-210.2422,424.4455,36.6652,-0.172,21.1302,0
-209.6266,424.2921,36.6165,-0.1848,21.3268,0
-209.0418,424.2356,36.574,-0.1964,21.3829,0
-208.5167,424.1512,36.6099,-0.2092,21.5093,0
-207.8929,424.0159,36.5842,-0.2229,21.6918,0
-207.3138,423.8878,36.5519,-0.2368,21.762,0
-206.7617,423.7309,36.5038,-0.251,21.8743,0
-206.0958,423.5216,36.4516,-0.2676,22.0358,0
-205.5651,423.3807,36.4008,-0.2814,22.0779,0
-204.9807,423.1686,36.3841,-0.298,22.3096,0
-204.378,422.9362,36.3724,-0.3138,22.2745,0
-203.8103,422.7139,36.3548,-0.3303,22.5412,0
-203.2297,422.5089,36.3255,-0.3457,22.6746,0
-202.6339,422.3162,36.2962,-0.3609,22.7869,0
-202.0322,422.1088,36.2447,-0.3766,23.0958,0
-201.448,421.8606,36.2018,-0.3921,22.9694,0
-200.8516,421.5941,36.1555,-0.4088,23.2643,0
-200.251,421.3062,36.1373,-0.425,23.3064,0
-199.6706,421.0638,36.1309,-0.4405,23.4187,0
-199.0815,420.7417,36.0888,-0.4558,23.517,0
-198.5118,420.4716,36.0631,-0.4716,23.5872,0
-197.9484,420.1881,36.0335,-0.4866,23.7065,0
-197.4649,420.0063,35.9987,-0.5001,23.8259,0
-196.8593,419.6254,35.986,-0.5149,23.9593,0
-196.2593,419.2766,35.98,-0.5299,23.9663,0
-195.6933,418.9579,35.9456,-0.5437,24.0997,0
-195.1479,418.641,35.8947,-0.5577,24.1839,0
-194.5766,418.3313,35.8766,-0.5716,24.3734,0
-194.0307,418.0497,35.8758,-0.5857,24.1348,0
-193.5416,417.6858,35.8353,-0.5998,24.3664,0
-192.9949,417.2675,35.7955,-0.6138,24.3173,0
-192.3995,416.8102,35.786,-0.6304,24.584,0
-191.8007,416.2783,35.7939,-0.647,24.584,0
-191.1916,415.8635,35.7307,-0.662,24.6402,0
-190.7312,415.417,35.6856,-0.678,24.7034,0
-190.2425,414.9698,35.644,-0.6939,24.7876,0
-189.6767,414.7188,35.634,-0.7068,24.7525,0
-189.1791,414.3313,35.6353,-0.7209,24.907,0
-188.7033,413.9284,35.6808,-0.7372,24.8929,0
-188.2072,413.4688,35.9532,-0.7525,24.9701,0
-187.7533,412.8781,35.9189,-0.7683,25.0965,0
-187.2597,412.4135,35.8735,-0.7833,25.0263,0
-186.6828,411.6975,35.8305,-0.8002,25.0263,0
-186.1934,411.1689,35.8206,-0.8136,25.0193,0
