Latitude,Longitude,Speed
38.6560062,-77.2797133,65
38.6558127,-77.2798207,65
38.6556223,-77.2799294,65
38.6554034,-77.280056,65
38.6552298,-77.2801572,65
38.6550512,-77.2802623,65
38.6548493,-77.2803853,65
38.6546906,-77.2804775,65
38.6545217,-77.280583,65
38.6543152,-77.2807118,65
38.6541483,-77.2808155,65
38.6540044,-77.2809072,65
38.6538602,-77.2810006,65
38.6537147,-77.281093,65
38.6536007,-77.2811644,65
38.6534652,-77.2812551,65
38.6533306,-77.2813452,65
38.65318,-77.2814428,65
38.6530237,-77.2815418,65
38.6529027,-77.2816185,65
38.6527501,-77.2817113,65
38.6525999,-77.2818013,65
38.6524754,-77.2818762,65
38.6523539,-77.2819469,65
38.6522574,-77.2819996,65
38.6521397,-77.2820669,65
38.6520153,-77.2821364,65
38.6518728,-77.2822146,65
38.6517677,-77.2823182,65
38.6515636,-77.2824312,65
38.6513752,-77.2825322,65
38.6512105,-77.282625,65
38.6510298,-77.2827265,65
38.6508435,-77.2828284,65
38.6506532,-77.2829365,65
38.6504517,-77.2830456,65
38.6502533,-77.28315735,65
38.650056,-77.2832655,65
38.6498576,-77.2833763,65
38.6496554,-77.2834908,65
38.64945602,-77.28359985,65
38.64925766,-77.28370667,65
38.6490593,-77.28382111,65
38.64885712,-77.28392792,65
38.64865494,-77.28404236,65
38.64845657,-77.28414917,65
38.64825821,-77.28426361,65
38.64806366,-77.28437805,65
38.6478217,-77.2845063,65
38.64766693,-77.28459167,65
38.64746857,-77.28469849,65
38.64727402,-77.28481293,65
38.64707184,-77.28492737,65
38.64685822,-77.28504181,65
38.6466467,-77.2851589,65
38.646431,-77.2852801,65
38.6462233,-77.2853972,65
38.6460176,-77.285513,65
38.6458106,-77.2856247,65
38.6456036,-77.2857405,65
38.6454003,-77.2858563,65
38.6451982,-77.2859654,65
38.6449928,-77.2860843,65
38.6447847,-77.2862023,65
38.6445833,-77.28631,65
38.6443784,-77.2864222,65
38.6441633,-77.2865403,65
38.64395142,-77.28664398,65
38.64373779,-77.28675079,65
38.64352798,-77.28685761,65
38.64331818,-77.28697205,65
38.64310837,-77.28707886,65
38.64289474,-77.28718567,65
38.64267731,-77.28729248,65
38.64246368,-77.28739929,65
38.64225388,-77.2875061,65
38.64204407,-77.28761292,65
38.64183044,-77.28771973,65
38.64161682,-77.28781891,65
38.64139557,-77.28792572,65
38.64117813,-77.28803253,65
38.64094925,-77.28813171,65
38.64072418,-77.28823853,65
38.6404953,-77.28833771,65
38.64027405,-77.28843689,65
38.64004517,-77.28853607,65
38.63981628,-77.28862762,65
38.6395874,-77.28872681,65
38.63936234,-77.28882599,65
38.63913727,-77.28892517,65
38.6389122,-77.28902435,65
38.63868713,-77.28911591,65
38.63845825,-77.28921509,65
38.63822556,-77.28931427,65
38.63799286,-77.28940582,65
38.63776398,-77.28949738,65
38.63752747,-77.28959656,65
38.63729477,-77.28968048,65
38.63705826,-77.28977203,65
38.63682175,-77.28986359,65
38.63657761,-77.28995514,65
38.63632584,-77.29003906,65
38.63607407,-77.29013062,65
38.63581848,-77.29022217,65
38.63554764,-77.29030609,65
38.63528824,-77.29040527,65
38.63502502,-77.29050446,65
38.63476181,-77.29059601,65
38.63450241,-77.29068756,65
38.6342392,-77.29077911,65
38.63398743,-77.2908783,65
38.63372421,-77.29097748,65
38.63347244,-77.29106903,65
38.63320923,-77.29116058,65
38.63294983,-77.29125214,65
38.63269806,-77.29133606,65
38.6324501,-77.29142761,65
38.63220596,-77.29151917,65
38.63196182,-77.29161072,65
38.63171005,-77.29170227,65
38.6314621,-77.29180145,65
38.63121414,-77.29190063,65
38.63096237,-77.29199219,65
38.63071823,-77.292099,65
38.63046646,-77.29219055,65
38.63021851,-77.29228973,65
38.62997055,-77.29238892,65
38.6297226,-77.29249573,65
38.62947845,-77.29259491,65
38.62915039,-77.29269409,65
38.62881851,-77.2928009,65
38.62856674,-77.29291534,65
38.6283226,-77.29302216,65
38.62807083,-77.2931366,65
38.62782669,-77.29325104,65
38.62757492,-77.29335022,65
38.62733078,-77.29347229,65
38.62708664,-77.29358673,65
38.62685013,-77.29369354,65
38.62661362,-77.29380798,65
38.62638092,-77.29392242,65
38.62614441,-77.29402924,65
38.62590027,-77.29415131,65
38.62566757,-77.29426575,65
38.62542725,-77.29438019,65
