x,y,z,yaw,velocity,change_flag
150.5957,-101.0351,-36.8259,-2.6831,9,0
149.2702,-101.5495,-36.7999,-2.8115,9,0
148.095,-101.8311,-36.7588,-2.8787,9,0
146.8863,-102.0807,-36.7383,-2.9093,9,0
145.8698,-102.2982,-36.7109,-2.9214,10,0
144.842,-102.5253,-36.6945,-2.9283,10,0
143.731,-102.7556,-36.6713,-2.9332,11,0
142.5368,-103.0024,-36.6483,-2.9369,12,0
140.9104,-103.324,-36.6111,-2.9405,13,0
139.8178,-103.5405,-36.5825,-2.9415,14,0
138.6424,-103.7804,-36.5654,-2.942,15,0
137.3685,-104.0277,-36.5312,-2.9419,16,0
135.9845,-104.2901,-36.4921,-2.9416,17,0
134.517,-104.5828,-36.4704,-2.9411,18,0
133.4872,-104.7851,-36.44,-2.9404,19,0
132.3988,-104.9988,-36.4199,-2.9396,20,0
131.2828,-105.2338,-36.3971,-2.939,21.5444,0
130.1011,-105.4605,-36.3692,-2.9387,22.3657,0
128.8614,-105.7129,-36.3458,-2.9381,23.2853,0
126.9131,-106.0881,-36.3134,-2.9384,24.6191,0
125.5557,-106.3622,-36.2887,-2.9401,25.4264,0
124.1578,-106.6196,-36.2772,-2.9421,26.2478,0
122.7161,-106.8927,-36.2612,-2.9458,26.9638,0
121.2509,-107.1671,-36.2257,-2.9499,27.6307,0
119.7264,-107.4531,-36.2139,-2.956,28.424,0
118.1702,-107.7225,-36.195,-2.9616,29.126,0
116.5902,-108.0088,-36.1694,-2.965,29.5402,0
114.159,-108.4291,-36.1384,-2.9717,30.4949,0
111.6593,-108.834,-36.1281,-2.979,31.3162,0
109.0627,-109.2363,-36.1124,-2.9869,32.1305,0
106.4321,-109.6448,-36.1226,-2.9935,32.8045,0
103.7006,-110.0118,-36.1119,-3.0012,33.3801,0
101.8751,-110.2628,-36.1157,-3.0064,33.7171,0
100.0156,-110.4957,-36.1083,-3.0118,34.1102,0
97.2181,-110.8482,-36.1064,-3.0201,34.4612,0
95.2964,-111.0566,-36.0928,-3.0261,34.8543,0
93.3993,-111.2586,-36.0868,-3.0318,34.9456,0
91.4837,-111.4651,-36.0867,-3.0368,35.1772,0
89.5379,-111.6454,-36.098,-3.0411,35.3527,0
87.5852,-111.8289,-36.1002,-3.0458,35.3808,0
85.6709,-112.0003,-36.0924,-3.0517,35.5844,0
82.7026,-112.216,-36.0998,-3.0613,35.8371,0
80.7237,-112.3719,-36.1184,-3.0678,36.0126,0
78.7344,-112.4983,-36.1405,-3.0754,36.1249,0
76.7527,-112.5933,-36.1494,-3.0836,36.2232,0
74.7639,-112.6965,-36.1566,-3.0921,36.3776,0
73.7426,-112.7379,-36.1683,-3.0966,36.504,0
72.7326,-112.7838,-36.1819,-3.1016,36.497,0
69.718,-112.8555,-36.2064,-3.1158,36.5531,0
68.7166,-112.8765,-36.2174,-3.1206,36.518,0
66.7154,-112.9027,-36.2445,-3.1288,36.6374,0
65.7095,-112.9136,-36.2588,-3.1332,36.6374,0
64.6942,-112.9159,-36.2714,-3.1376,36.5461,0
63.6757,-112.911,-36.2811,3.1412,36.7146,0
62.6703,-112.8973,-36.2891,3.1373,36.6444,0
60.6652,-112.89,-36.3181,3.1305,36.7497,0
59.6543,-112.8757,-36.3337,3.1268,36.7848,0
58.6473,-112.8561,-36.3536,3.1236,36.8129,0
57.6288,-112.8206,-36.371,3.1204,36.7848,0
55.5941,-112.7589,-36.3996,3.114,36.862,0
54.5851,-112.7331,-36.4138,3.1111,36.8971,0
53.5665,-112.6929,-36.4328,3.108,36.9112,0
52.5215,-112.6852,-36.4589,3.1049,36.9533,0
51.5188,-112.6361,-36.479,3.1016,36.9392,0
50.4815,-112.5952,-36.4919,3.0984,36.9743,0
49.4351,-112.5465,-36.5054,3.0949,37.0024,0
48.4006,-112.5059,-36.5256,3.0916,36.9463,0
47.3756,-112.4469,-36.5475,3.0881,37.0235,0
46.3288,-112.3725,-36.5645,3.0845,36.9463,0
45.313,-112.3167,-36.5884,3.0808,37.0165,0
44.2906,-112.2468,-36.6069,3.0768,36.9603,0
43.2426,-112.1728,-36.6261,3.0726,36.9673,0
42.2315,-112.0931,-36.6427,3.0685,36.9603,0
40.171,-111.907,-36.6753,3.0595,36.9743,0
39.1282,-111.8285,-36.6927,3.0552,36.9673,0
38.1005,-111.7411,-36.7143,3.0514,36.9743,0
37.0558,-111.646,-36.7372,3.0478,36.9252,0
35.0553,-111.4364,-36.7757,3.0411,37.0165,0
32.9843,-111.2194,-36.8221,3.0345,37.0726,0
31.0067,-110.9775,-36.8735,3.0274,37.0726,0
29.9618,-110.8217,-36.8891,3.0231,36.8971,0
27.9607,-110.561,-36.9239,3.0146,37.0165,0
23.8996,-109.997,-37.0379,2.9986,36.862,0
20.9388,-109.5289,-37.0919,2.9871,36.7918,0
18.9212,-109.2043,-37.1444,2.9789,36.7427,0
16.926,-108.8479,-37.186,2.9719,36.6163,0
12.9516,-108.1115,-37.2614,2.9564,36.4198,0
10.9897,-107.7388,-37.3014,2.9475,36.4689,0
9.0133,-107.3461,-37.3532,2.9402,36.3636,0
8.0378,-107.1255,-37.3873,2.9364,36.3917,0
7.0526,-106.9135,-37.4003,2.9324,36.49,0
5.1696,-106.4921,-37.3796,2.9237,36.49,0
-2.7472,-104.5753,-37.6305,2.8974,36.1881,0
-5.7015,-103.8222,-37.7627,2.8857,36.0266,0
-7.5877,-103.3205,-37.805,2.8787,36.2232,0
-10.4471,-102.4775,-37.7832,2.8666,36.0056,0
-12.3642,-101.9291,-37.8816,2.8577,36.3215,0
-14.2365,-101.3618,-37.918,2.8487,36.1881,0
-16.1306,-100.7671,-37.9301,2.8392,36.3074,0
-18.9915,-99.8397,-38.0294,2.824,36.8199,0
-20.9171,-99.1833,-38.0683,2.8131,36.9392,0
-22.8734,-98.5058,-38.1366,2.8034,37.4096,0
-23.8529,-98.1577,-38.1688,2.799,37.3885,0
-28.7856,-96.3349,-38.2971,2.7821,38.0624,0
-30.7785,-95.5701,-38.372,2.7762,38.3573,0
-35.6951,-93.6013,-38.4749,2.7561,38.8136,0
-36.65,-93.2011,-38.4504,2.7515,38.8978,0
-45.7134,-89.2576,-38.6867,2.7144,39.5437,0
-49.6728,-87.3924,-38.7287,2.696,39.4033,0
-51.6619,-86.4363,-38.788,2.6855,39.7121,0
-55.5387,-84.468,-38.8358,2.6602,39.4243,0
-57.4505,-83.4585,-38.8856,2.6444,39.4243,0
-60.3006,-81.88,-38.9178,2.6171,39.4313,0
-61.2516,-81.3219,-38.9391,2.6064,39.4033,0
-64.0328,-79.5971,-38.99,2.5742,39.3541,0
-67.5963,-77.2153,-39.0485,2.5299,39.2278,0
-70.244,-75.3229,-39.0892,2.497,39.0031,0
-71.9459,-73.9881,-39.1784,2.4767,39.0874,0
-79.2381,-67.7052,-39.1929,2.3828,38.6521,0
-82.2934,-64.7037,-39.2195,2.3428,38.4696,0
-84.4418,-62.3999,-39.178,2.3182,38.1677,0
-85.8767,-60.8273,-39.1898,2.3045,37.9852,0
-87.2373,-59.2663,-39.1409,2.2917,37.901,0
-88.5185,-57.7122,-39.0841,2.2798,37.6623,0
-95.1097,-49.6399,-39.1047,2.2288,37.2692,0
-96.8957,-47.255,-39.0268,2.2038,36.8199,0
-98.1021,-45.5569,-38.9408,2.186,36.497,0
-99.8296,-43.0068,-38.9402,2.1643,36.0828,0
-100.8868,-41.3685,-38.8964,2.1537,35.8371,0
-103.9638,-36.4101,-38.774,2.1432,34.756,0
-106.0203,-33.186,-38.6633,2.1591,33.7311,0
-108.6494,-29.3294,-38.4894,2.1991,32.7202,0
-110.7539,-26.3791,-38.4208,2.2437,32.1305,0
-112.4141,-24.2949,-38.3444,2.2862,31.4145,0
-113.5517,-22.9547,-38.2927,2.3167,30.9301,0
-114.6922,-21.7299,-38.2534,2.3488,30.2422,0
-115.8502,-20.5691,-38.2033,2.3792,29.6174,0
-117.005,-19.4657,-38.1547,2.4097,28.6978,0
-119.3165,-17.544,-38.0302,2.4701,27.0059,0
-123.9696,-14.2221,-37.8574,2.5905,26,0
-125.6923,-13.2296,-37.7803,2.6372,25,0
-126.8488,-12.574,-37.7271,2.6684,24,0
-128.0103,-11.9972,-37.6677,2.6984,23,0
-129.1644,-11.5035,-37.6079,2.7261,22,0
-130.2941,-10.9869,-37.5508,2.7521,21,0
-131.4213,-10.5455,-37.4991,2.7774,20,0
-132.5117,-10.1375,-37.4486,2.8014,20,0
-133.6158,-9.7604,-37.3953,2.8251,20,0
-134.7055,-9.3949,-37.345,2.8479,20,0
-135.7529,-9.0947,-37.2922,2.8704,19.7964,0
-136.8295,-8.7679,-37.2445,2.892,19.3752,0
-137.8645,-8.5222,-37.1899,2.9126,18.9961,0
-138.8788,-8.2895,-37.1478,2.9316,18.5819,0
-139.8622,-8.0822,-37.1006,2.9505,18.1467,0
-140.8498,-7.884,-37.0587,2.9685,17.6202,0
-142.2735,-7.658,-36.9983,2.9946,17.0165,0
-143.6542,-7.4671,-36.9486,3.0193,16.4268,0
-144.9852,-7.3137,-36.8868,3.043,15.809,0
-146.2837,-7.1905,-36.8422,3.0651,15.2123,0
-147.5158,-7.111,-36.7911,3.0833,14.6016,0
-148.7278,-7.0398,-36.7529,3.0996,14.0891,0
-149.8768,-7.0123,-36.7123,3.1133,13.5346,0
-150.9779,-6.983,-36.6739,3.1233,13.0783,0
-152.0577,-6.9569,-36.6376,3.1315,12.6149,0
-153.0971,-6.9429,-36.6134,3.1366,12.1727,0
-156.8332,-6.7828,-36.5214,3.1174,12,0
-159.1655,-6.8865,-36.492,3.0949,12,0
-160.2661,-6.8656,-36.4788,3.0727,11,0
-161.7259,-7.0822,-36.4391,3.0288,10,0
-162.893,-5.8694,-36.4469,2.7539,9,0
-164.2748,-5.1924,-36.408,2.5886,8,0
-165.3926,-4.3633,-36.3763,2.399,8,0
-166.3222,-3.3208,-36.3579,2.1732,8,0
-166.9014,-2.3148,-36.3395,1.9652,7,0
-167.2011,-1.3417,-36.3248,1.7848,8,0
-167.3381,-0.2292,-36.319,1.6037,8,0
-167.2217,1.1432,-36.2905,1.4097,8,0
-166.9694,2.315,-36.2734,1.2713,8,0
-166.4089,3.6379,-36.2565,1.1312,8,0
-165.7883,4.7629,-36.2683,1.0415,8,0
-164.8942,6.0902,-36.2695,0.9724,8,0
-164.2811,6.9514,-36.2752,0.943,9,0
-163.6756,7.7649,-36.2769,0.922,9,0
-162.377,9.3428,-36.2847,0.8783,9,0
-161.6938,10.1443,-36.2951,0.8566,9,0
-160.9418,10.9732,-36.3054,0.8352,10.4528,0
-159.6844,12.3027,-36.3415,0.8007,11.5198,0
-158.5385,13.4325,-36.3656,0.7707,12.0814,0
-157.7894,14.1352,-36.3543,0.7522,12.4465,0
-156.7433,15.0827,-36.3765,0.7272,12.6922,0
-153.3909,17.831,-36.4766,0.6506,13.5767,0
-152.2019,18.7271,-36.5147,0.627,13.6399,0
-150.9494,19.5954,-36.5238,0.6082,13.8013,0
-150.012,20.2402,-36.5575,0.5941,13.9698,0
-149.0467,20.8881,-36.5905,0.5835,14.0681,0
-148.0864,21.5146,-36.6146,0.5744,14.1242,0
-147.1035,22.1389,-36.6483,0.5664,14.2436,0
-146.1084,22.7694,-36.6878,0.5591,14.2436,0
-144.7395,23.5845,-36.7412,0.5488,14.5454,0
-143.6995,24.2061,-36.784,0.5406,14.7069,0
-142.6419,24.8332,-36.8389,0.5328,15.0017,0
-141.5602,25.4536,-36.9028,0.5252,15.3598,0
-140.4431,26.0724,-36.9606,0.5177,15.6125,0
-139.3063,26.713,-37.0323,0.5112,16.1109,0
-138.1406,27.3516,-37.1182,0.505,16.6234,0
-136.9152,28.0131,-37.204,0.4987,17.2341,0
-135.6358,28.6976,-37.2984,0.4917,17.8027,0
-134.3165,29.3775,-37.4017,0.4849,18.4626,0
-133.4037,29.8528,-37.4769,0.482,18.7083,0
-132.4922,30.3314,-37.551,0.4792,19.0312,0
-131.5587,30.8137,-37.6215,0.4766,19.5437,0
-130.6106,31.2824,-37.6772,0.4741,19.7262,0
-129.6143,31.7914,-37.7631,0.4717,19.8877,0
-128.6239,32.2835,-37.8417,0.4695,20.1895,0
-127.6278,32.8054,-37.9118,0.4681,20.6248,0
-126.5977,33.2994,-37.9795,0.4664,20.8073,0
-121.8728,35.6252,-38.3035,0.4582,21.6076,0
-120.7957,36.1612,-38.3691,0.4574,21.5725,0
-119.7132,36.6696,-38.4449,0.4571,21.4882,0
-118.6545,37.1833,-38.5244,0.4571,21.5093,0
-117.5928,37.701,-38.5778,0.457,21.6216,0
-116.5121,38.2067,-38.6276,0.456,21.397,0
