Latitude,Longitude,Speed
38.5040206909,-77.3790588379,65
38.5043029785,-77.3789672852,65
38.504573822,-77.3788757324,65
38.5048446655,-77.3787918091,65
38.5051040649,-77.3787078857,65
38.5053634644,-77.378616333,65
38.5058021545,-77.3785400391,65
38.5060539246,-77.3784561157,65
38.5063095093,-77.3783721924,65
38.506565094,-77.378288269,65
38.5068206787,-77.3782119751,65
38.5070762634,-77.3781280518,65
38.5073280334,-77.3780441284,65
38.5075836182,-77.3779678345,65
38.5078430176,-77.3778762817,65
38.508102417,-77.3777999878,65
38.5083656311,-77.3777084351,65
38.5086250305,-77.3776321411,65
38.5088920593,-77.3775482178,65
38.5091514587,-77.377456665,65
38.5094146729,-77.3773803711,65
38.5096740723,-77.3772964478,65
38.5099372864,-77.3772125244,65
38.5102005005,-77.3771209717,65
38.5104637146,-77.3770370483,65
38.5107269287,-77.376953125,65
38.5109901428,-77.3768615723,65
38.5112533569,-77.3767700195,65
38.5115127563,-77.3766784668,65
38.5117683411,-77.3765716553,65
38.5120162964,-77.3764724731,65
38.5122718811,-77.3763656616,65
38.5125160217,-77.3762588501,65
38.5127601624,-77.3761520386,65
38.5130119324,-77.3760299683,65
38.5132637024,-77.3759155273,65
38.5135307312,-77.375793457,65
38.51379776,-77.3756637573,65
38.5140609741,-77.3755340576,65
38.5143241882,-77.3754043579,65
38.5145874023,-77.3752746582,65
38.5148468018,-77.3751373291,65
38.5151100159,-77.375,65
38.5153694153,-77.3748626709,65
38.515625,-77.3747253418,65
38.51587677,-77.3745803833,65
38.5161247253,-77.3744277954,65
38.516368866,-77.3742828369,65
38.5166091919,-77.374130249,65
38.5168457031,-77.3739700317,65
38.5170783997,-77.3738174438,65
38.5173110962,-77.3736572266,65
38.5175437927,-77.3734970093,65
38.5177764893,-77.3733291626,65
38.5180091858,-77.3731613159,65
38.5182418823,-77.3729858398,65
38.5184707642,-77.3728179932,65
38.518699646,-77.3726425171,65
38.5189247131,-77.372467041,65
38.5191459656,-77.3722915649,65
38.519367218,-77.3721084595,65
38.5195846558,-77.371925354,65
38.5197982788,-77.3717422485,65
38.5200119019,-77.3715591431,65
38.5204086304,-77.3713684082,65
38.5206222534,-77.3711853027,65
38.5208358765,-77.3709945679,65
38.5210418701,-77.3708114624,65
38.5212516785,-77.3706207275,65
38.5214538574,-77.3704299927,65
38.5216560364,-77.3702316284,65
38.5218582153,-77.3700332642,65
38.5220565796,-77.3698425293,65
38.5222549438,-77.369644165,65
38.5224533081,-77.3694458008,65
38.5226478577,-77.3692398071,65
38.5228385925,-77.3690414429,65
38.5230331421,-77.3688278198,65
38.523223877,-77.3686218262,65
38.5234184265,-77.3684082031,65
38.5236053467,-77.3681945801,65
38.5237960815,-77.3679733276,65
38.5239830017,-77.3677597046,65
38.5241737366,-77.3675384521,65
38.5243644714,-77.3673248291,65
38.5245513916,-77.3670959473,65
38.5247459412,-77.3668670654,65
38.524936676,-77.3666534424,65
38.5251274109,-77.3664321899,65
38.5253219604,-77.3662033081,65
38.52551651,-77.3659820557,65
38.5257034302,-77.3657684326,65
38.5258979797,-77.3655395508,65
38.5260925293,-77.3653182983,65
38.5262908936,-77.3650894165,65
38.5264892578,-77.3648605347,65
38.5266838074,-77.3646316528,65
38.5268821716,-77.364402771,65
38.5270767212,-77.3641815186,65
38.5272789001,-77.3639450073,65
38.5274772644,-77.3637237549,65
38.5276756287,-77.363494873,65
38.5278701782,-77.3632659912,65
38.5280685425,-77.3630371094,65
38.528263092,-77.3628082275,65
38.5284614563,-77.3625793457,65
38.5286598206,-77.3623504639,65
38.5288581848,-77.3621139526,65
38.5290527344,-77.3618850708,65
38.5292510986,-77.3616485596,65
38.5294532776,-77.3614120483,65
38.5296516418,-77.3611831665,65
38.5298538208,-77.3609466553,65
38.5300559998,-77.3607177734,65
38.5302581787,-77.3604812622,65
38.5304603577,-77.360244751,65
38.5306663513,-77.3600082397,65
38.5308685303,-77.3597717285,65
38.5310745239,-77.3595352173,65
38.5312805176,-77.3592987061,65
38.5314826965,-77.3590621948,65
38.5316848755,-77.358833313,65
38.5318870544,-77.3586044312,65
38.5320892334,-77.3583679199,65
38.5322875977,-77.3581314087,65
38.5324897766,-77.3578948975,65
38.5326881409,-77.3576660156,65
38.5328903198,-77.3574295044,65
38.5330924988,-77.3572006226,65
38.5332946777,-77.3569641113,65
38.533493042,-77.3567352295,65
38.5336952209,-77.3564987183,65
38.5338973999,-77.356262207,65
38.5340957642,-77.3560333252,65
38.5342979431,-77.3558044434,65
38.5344963074,-77.3555755615,65
38.5346946716,-77.3553390503,65
38.5348930359,-77.3551025391,65
38.5350990295,-77.3548736572,65
38.5352973938,-77.354637146,65
38.5354995728,-77.3544082642,65
38.535697937,-77.3541793823,65
38.5358963013,-77.3539505005,65
38.5360946655,-77.3537216187,65
38.5362930298,-77.3534927368,65
38.536491394,-77.353263855,65
38.5366821289,-77.3530426025,65
38.5368766785,-77.3528137207,65
38.537071228,-77.3525924683,65
38.5372657776,-77.3523712158,65
38.5374565125,-77.3521499634,65
38.537651062,-77.3519210815,65
38.5378456116,-77.3516921997,65
38.5380401611,-77.3514709473,65
38.5382385254,-77.3512420654,65
38.5384368896,-77.3510131836,65
38.5386352539,-77.3507843018,65
38.5388336182,-77.3505477905,65
38.5390357971,-77.3503112793,65
38.5392379761,-77.3500823975,65
38.5394439697,-77.3498382568,65
38.5396461487,-77.3496017456,65
38.5398521423,-77.3493652344,65
38.5400619507,-77.3491287231,65
38.540271759,-77.3488998413,65
38.5404815674,-77.3486709595,65
38.5406990051,-77.3484573364,65
38.5409126282,-77.348236084,65
38.5411338806,-77.3480224609,65
38.5413589478,-77.3478088379,65
38.5415802002,-77.3476104736,65
38.5418128967,-77.3474121094,65
38.5420417786,-77.3472213745,65
