Latitude,Longitude,Speed
38.73968506,-77.19208527,65
38.73962021,-77.19205475,65
38.73953247,-77.1920166,65
38.73942566,-77.19197845,65
38.73931503,-77.19194794,65
38.73920441,-77.19192505,65
38.73908234,-77.19190979,65
38.73895645,-77.19190979,65
38.73883438,-77.19191742,65
38.7387085,-77.19193268,65
38.73858261,-77.19195557,65
38.73845673,-77.19199371,65
38.73832703,-77.19204712,65
38.73819351,-77.19210815,65
38.73805237,-77.19219971,65
38.7379036,-77.19230652,65
38.73775482,-77.19242859,65
38.73760223,-77.19255066,65
38.73744965,-77.19268036,65
38.73728943,-77.19281006,65
38.73712921,-77.19294739,65
38.73696518,-77.19307709,65
38.73681259,-77.19320679,65
38.73666,-77.19332886,65
38.73651505,-77.19345093,65
38.73636246,-77.19355011,65
38.73620224,-77.19364166,65
38.73604202,-77.19371796,65
38.73588181,-77.19377899,65
38.73572159,-77.1938324,65
38.73556519,-77.19389343,65
38.7354126,-77.19394684,65
38.73524857,-77.1940155,65
38.73508072,-77.19410706,65
38.73490906,-77.19421387,65
38.73474503,-77.19434357,65
38.73457718,-77.19448853,65
38.73440933,-77.19463348,65
38.7342453,-77.19477844,65
38.73407364,-77.19491577,65
38.73390579,-77.19506073,65
38.73373032,-77.19520569,65
38.73355865,-77.19535065,65
38.73338318,-77.19550323,65
38.73320007,-77.19565582,65
38.73301697,-77.19580841,65
38.73283005,-77.19596863,65
38.7326355,-77.19613647,65
38.7324295,-77.19631195,65
38.73221588,-77.19649506,65
38.73199463,-77.19669342,65
38.73175812,-77.19689178,65
38.73152924,-77.19709778,65
38.73130035,-77.19729614,65
38.73106766,-77.19748688,65
38.73085022,-77.19768524,65
38.73062897,-77.19788361,65
38.73042297,-77.19808197,65
38.73020935,-77.19828033,65
38.72999954,-77.19848633,65
38.72978973,-77.19869995,65
38.72957993,-77.19889832,65
38.7293663,-77.19911957,65
38.72914505,-77.19934082,65
38.72892761,-77.19956207,65
38.72871399,-77.19978333,65
38.72850037,-77.20001221,65
38.72829056,-77.20023346,65
38.72807693,-77.20046997,65
38.72786331,-77.20069885,65
38.72764969,-77.20094299,65
38.72742462,-77.20118713,65
38.72719574,-77.20144653,65
38.72695923,-77.20171356,65
38.72672653,-77.20196533,65
38.72649384,-77.20223999,65
38.72626877,-77.20249939,65
38.72603607,-77.20275879,65
38.725811,-77.20302582,65
38.72559357,-77.20327759,65
38.72537613,-77.20352936,65
38.72516251,-77.2037735,65
38.72494888,-77.20402527,65
38.72474289,-77.20426178,65
38.72453308,-77.20451355,65
38.72432709,-77.20475006,65
38.72411728,-77.20500183,65
38.72390366,-77.2052536,65
38.72368622,-77.205513,65
38.72346497,-77.20578003,65
38.72324371,-77.20604706,65
38.7230072,-77.20632172,65
38.72277451,-77.206604,65
38.72254562,-77.20687866,65
38.72232056,-77.20715332,65
38.72210312,-77.20743561,65
38.7218895,-77.20771027,65
38.72167969,-77.20799255,65
38.72123337,-77.20825958,65
38.72102737,-77.20852661,65
38.72082901,-77.20879364,65
38.72063828,-77.20906067,65
38.7204361,-77.20931244,65
38.72023773,-77.20957184,65
